"WebID","Area","Data_label","2016","2016%","2011","2011%","2006","2006%","2001","2001%","Data Type",
"20","Greater Capital Cities","East Timor","8767","0.0578","8806","0.0641","8914","0.0708","8891","0.0753","UR",
"20","Greater Capital Cities","Hungary","13806","0.0910","14700","0.1070","15583","0.1237","17937","0.1519","UR",
"20","Greater Capital Cities","Iran","53018","0.3493","30889","0.2247","20728","0.1646","16963","0.1436","UR",
"20","Greater Capital Cities","Mauritius","22105","0.1456","21285","0.1549","16849","0.1338","15772","0.1335","UR",
"20","Greater Capital Cities","Portugal","13140","0.0866","12772","0.0929","12746","0.1012","13063","0.1106","UR",
"20","Greater Capital Cities","Romania","12503","0.0824","12347","0.0898","12316","0.0978","11216","0.0950","UR",
"20","Greater Capital Cities","Russian Federation","17569","0.1157","15960","0.1161","13524","0.1074","13467","0.1140","UR",
"20","Greater Capital Cities","Spain","11447","0.0754","9405","0.0684","8754","0.0695","9120","0.0772","UR",
"20","Greater Capital Cities","Taiwan","38383","0.2529","25264","0.1838","22329","0.1773","20345","0.1722","UR",
"20","Greater Capital Cities","Ukraine","11702","0.0771","12206","0.0888","11926","0.0947","12092","0.1024","UR",
"20","Greater Capital Cities","Afghanistan","42224","0.2782","24985","0.1818","15583","0.1237","9652","0.0817","UR",
"20","Greater Capital Cities","Albania","2415","0.0159","1936","0.0141","1496","0.0119","1065","0.0090","UR",
"20","Greater Capital Cities","Bangladesh","36958","0.2435","25026","0.1821","14606","0.1160","8098","0.0686","UR",
"20","Greater Capital Cities","Belarus","1499","0.0099","1492","0.0109","1114","0.0088","898","0.0076","UR",
"20","Greater Capital Cities","Belgium","4464","0.0294","3987","0.0290","3439","0.0273","3451","0.0292","UR",
"20","Greater Capital Cities","Botswana","810","0.0053","686","0.0050","633","0.0050","488","0.0041","UR",
"20","Greater Capital Cities","Brazil","22725","0.1497","11604","0.0844","5975","0.0474","3778","0.0320","UR",
"20","Greater Capital Cities","Brunei Darussalam","2490","0.0164","2406","0.0175","2198","0.0175","1891","0.0160","UR",
"20","Greater Capital Cities","Bulgaria","2828","0.0186","2468","0.0180","2283","0.0181","2218","0.0188","UR",
"20","Greater Capital Cities","Burma (Myanmar)","28403","0.1871","19053","0.1386","11295","0.0897","10107","0.0856","UR",
"20","Greater Capital Cities","Colombia","17282","0.1139","10221","0.0744","5045","0.0401","3836","0.0325","UR",
"20","Greater Capital Cities","Congo, Democratic Republic of","3084","0.0203","1895","0.0138","528","0.0042","201","0.0017","UR",
"20","Greater Capital Cities","Cook Islands","5401","0.0356","4831","0.0351","4172","0.0331","3900","0.0330","UR",
"20","Greater Capital Cities","Czech Republic","5962","0.0393","5748","0.0418","5536","0.0440","5299","0.0449","UR",
"20","Greater Capital Cities","Denmark","5852","0.0386","5913","0.0430","5894","0.0468","6197","0.0525","UR",
"20","Greater Capital Cities","Eastern Europe, nfd","3308","0.0218","3664","0.0267","4220","0.0335","5443","0.0461","UR",
"20","Greater Capital Cities","Ecuador","1999","0.0132","1537","0.0112","1357","0.0108","1311","0.0111","UR",
"20","Greater Capital Cities","El Salvador","8782","0.0579","8898","0.0647","8769","0.0696","8978","0.0760","UR",
"20","Greater Capital Cities","Eritrea","3939","0.0260","2663","0.0194","1930","0.0153","1494","0.0126","UR",
"20","Greater Capital Cities","Estonia","1697","0.0112","1359","0.0099","1465","0.0116","1786","0.0151","UR",
"20","Greater Capital Cities","Ethiopia","10736","0.0707","7655","0.0557","5158","0.0410","3291","0.0279","UR",
"20","Greater Capital Cities","Finland","4670","0.0308","4843","0.0352","4813","0.0382","5043","0.0427","UR",
"20","Greater Capital Cities","Gaza Strip and West Bank","2672","0.0176","2461","0.0179","2417","0.0192","2453","0.0208","UR",
"20","Greater Capital Cities","Ghana","4446","0.0293","3222","0.0234","2367","0.0188","1754","0.0148","UR",
"20","Greater Capital Cities","Israel","8795","0.0579","8306","0.0604","7070","0.0561","6045","0.0512","UR",
"20","Greater Capital Cities","Jordan","5382","0.0355","4313","0.0314","3483","0.0277","3184","0.0270","UR",
"20","Greater Capital Cities","Kenya","14503","0.0955","11237","0.0818","7915","0.0628","5189","0.0439","UR",
"20","Greater Capital Cities","Kuwait","5305","0.0350","3638","0.0265","2554","0.0203","2241","0.0190","UR",
"20","Greater Capital Cities","Laos","8741","0.0576","8453","0.0615","8067","0.0641","8081","0.0684","UR",
"20","Greater Capital Cities","Latvia","2852","0.0188","3616","0.0263","4234","0.0336","5203","0.0441","UR",
"20","Greater Capital Cities","Liberia","2736","0.0180","2368","0.0172","1305","0.0104","104","0.0009","UR",
"20","Greater Capital Cities","Libya","1985","0.0131","1933","0.0141","1327","0.0105","1292","0.0109","UR",
"20","Greater Capital Cities","Lithuania","2104","0.0139","2086","0.0152","2441","0.0194","2869","0.0243","UR",
"20","Greater Capital Cities","Macau","2442","0.0161","2092","0.0152","1877","0.0149","1866","0.0158","UR",
"20","Greater Capital Cities","Mexico","4120","0.0271","2756","0.0201","1381","0.0110","899","0.0076","UR",
"20","Greater Capital Cities","Morocco","1487","0.0098","1233","0.0090","1047","0.0083","861","0.0073","UR",
"20","Greater Capital Cities","Mozambique","674","0.0044","585","0.0043","508","0.0040","483","0.0041","UR",
"20","Greater Capital Cities","Namibia","867","0.0057","696","0.0051","461","0.0037","287","0.0024","UR",
